,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
264,"Strop, P"," Strop, P",CHC,2,2.85,47.33333333,4,15,60,0.163,0.89,729,0.333333333,15.40140845,1.267605634,0.316901408,113,CHC,RP,"$4,400,000 ",1 (2016),"$4,400,000 ","$4,400,000 "
265,"Syndergaard, N"," Syndergaard, N",NYM,14,2.6,183.6666667,11,43,218,0.243,1.15,2935,0.666666667,15.9800363,1.186932849,0.234119782,261,NYM,SP,"$535,375 ",1 (2016),"$535,375 ","$535,375 "
266,"Tanaka, M"," Tanaka, M",NYY,14,3.07,199.6666667,22,36,165,0.236,1.08,2935,0.666666667,14.69949917,0.826377295,0.180300501,10,NYY,SP,"$22,000,000 ",7 (2014-20),"$155,000,000 ","$22,142,857 "
267,"Tazawa, J"," Tazawa, J",BOS,3,4.17,49.66666667,9,14,54,0.245,1.23,838,0.666666667,16.87248322,1.087248322,0.281879195,142,BOS,RP,"$3,375,000 ",1 (2016),"$3,375,000 ","$3,375,000 "
268,"Teheran, J"," Teheran, J",ATL,7,3.21,188,22,41,167,0.223,1.05,2971,0,15.80319149,0.888297872,0.218085106,138,ATL,P,"$3,466,666 ",6 (2014-19),"$32,400,000 ","$5,400,000 "
269,"Thornburg, T"," Thornburg, T",MIL,8,2.15,67,6,25,90,0.162,0.94,1145,0,17.08955224,1.343283582,0.373134328,344,MIL,RP,"$513,900 ",1 (2016),"$513,900 ","$513,900 "
270,"Tillman, C"," Tillman, C",BAL,16,3.77,172,19,66,140,0.244,1.28,2936,0,17.06976744,0.813953488,0.38372093,88,BAL,SP,"$6,225,000 ",1 (2016),"$6,225,000 ","$6,225,000 "
271,"Tomlin, J"," Tomlin, J",CLE,13,4.4,174,36,20,118,0.269,1.19,2612,0,15.01149425,0.67816092,0.114942529,172,CLE,SP,"$2,250,000 ",2 (2016-17),"$5,500,000 ","$2,750,000 "
272,"Tonkin, M"," Tonkin, M",MIN,3,5.02,71.66666667,13,24,80,0.28,1.45,1287,0.666666667,17.95813953,1.11627907,0.334883721,332,MIN,RP,"$515,000 ",1 (2016),"$515,000 ","$515,000 "
273,"Torres, C"," Torres, C",MIL,3,2.73,82.33333333,8,30,78,0.217,1.15,1317,0.333333333,15.99595142,0.947368421,0.36437247,218,MIL,RP,"$1,050,000 ",1 (2016),"$1,050,000 ","$1,050,000 "
274,"Treinen, B"," Treinen, B",WSH,4,2.28,67,5,31,63,0.224,1.22,1002,0,14.95522388,0.940298507,0.462686567,282,WSH,RP,"$524,900 ",1 (2016),"$524,900 ","$524,900 "
275,"Uehara, K"," Uehara, K",BOS,2,3.45,47,8,11,63,0.2,0.96,769,0,16.36170213,1.340425532,0.234042553,58,BOS,P,"$9,000,000 ",2 (2015-16),"$18,000,000 ","$9,000,000 "
276,"Velasquez, V"," Velasquez, V",PHI,8,4.12,131,21,45,152,0.263,1.33,2213,0,16.89312977,1.160305344,0.34351145,328,PHI,SP,"$516,000 ",1 (2016),"$516,000 ","$516,000 "
277,"Verlander, J"," Verlander, J",DET,16,3.04,227.6666667,30,57,254,0.207,1,3668,0.666666667,16.11127379,1.115666179,0.250366032,4,DET,SP,"$28,000,000 ",7 (2013-19),"$180,000,000 ","$25,714,285 "
278,"Verrett, L"," Verrett, L",NYM,3,5.2,91.66666667,16,43,66,0.283,1.56,1570,0.666666667,17.12727273,0.72,0.469090909,338,NYM,RP,"$514,875 ",1 (2016),"$514,875 ","$514,875 "
279,"Villanueva, C"," Villanueva, C",SD,2,5.96,74,17,14,61,0.297,1.39,1193,0,16.12162162,0.824324324,0.189189189,197,SD,RP,"$1,490,314 ",1 (2016),"$1,490,314 ","$1,490,314 "
280,"Vincent, N"," Vincent, N",SEA,4,3.73,60.33333333,11,15,65,0.231,1.13,935,0.333333333,15.49723757,1.077348066,0.248618785,278,SEA,RP,"$525,500 ",1 (2016),"$525,500 ","$525,500 "
281,"Vizcaino, A"," Vizcaino, A",ATL,1,4.42,38.66666667,3,26,50,0.24,1.63,720,0.666666667,18.62068966,1.293103448,0.672413793,233,ATL,RP,"$897,500 ",1 (2016),"$897,500 ","$897,500 "
282,"Vogelsong, R"," Vogelsong, R",PIT,3,4.81,82.33333333,11,40,61,0.254,1.46,1390,0.333333333,16.88259109,0.740890688,0.48582996,174,PIT,SP,"$2,000,000 ",1 (2016),"$2,000,000 ","$2,000,000 "
283,"Volquez, E"," Volquez, E",KC,10,5.37,189.3333333,23,76,139,0.286,1.55,3232,0.333333333,17.07042254,0.73415493,0.401408451,54,KC,SP,"$9,500,000 ",2 (2015-16),"$20,000,000 ","$10,000,000 "
